Designator,Footprint,Quantity,Value,LCSC Part #
J1,PinHeader_1x04_P2.54mm_Horizontal,1,Conn_01x04,
USB1,USB-A-TH_UBA-4R-D14T-4D,1,UBA-4R-D14T-4D (LF)(SN),C157903
