Designator,Footprint,Quantity,Value,LCSC Part #
J1,PinHeader_1x04_P2.54mm_Horizontal,1,Conn_01x04,
K1,RELAY-TH_SRA-XXVDC-AL,1,SRA-12VDC-AL,C86414
